upstox_id,tradingsymbol,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,face_value
BSE_EQ|INE0QN801017,KRYSTAL,EQUITY,BSE_EQ,KRYSTAL,Krystal Integrated Services Limited,21-MAR-2024,INE0QN801017,10
BSE_EQ|INE0R6Z01013,SRM,EQUITY,BSE_EQ,SRM,SRM Contractors Limited,03-APR-2024,INE0R6Z01013,10
BSE_EQ|INE266Y01019,DPABHUSHAN,EQUITY,BSE_EQ,DPABHUSHAN,D. P. Abhushan Limited,03-NOV-2020,INE266Y01019,10
BSE_EQ|INE343G01021,BHARTIHEXA,EQUITY,BSE_EQ,BHARTIHEXA,Bharti Hexacom Limited,12-APR-2024,INE343G01021,5
BSE_EQ|INE0OAF01028,JNKINDIA,EQUITY,BSE_EQ,JNKINDIA,JNK India Limited,30-APR-2024,INE0OAF01028,2
BSE_EQ|INE065X01017,INDGN,EQUITY,BSE_EQ,INDGN,Indegene Limited,13-MAY-2024,INE065X01017,2
BSE_EQ|INE980Y01015,SOUTHWEST,EQUITY,BSE_EQ,SOUTHWEST,South West Pinnacle Exploration Limited,18-APR-2019,INE980Y01015,10
BSE_EQ|INE673O01025,TBOTEK,EQUITY,BSE_EQ,TBOTEK,TBO Tek Limited,15-MAY-2024,INE673O01025,1
BSE_EQ|INE883F01010,AADHARHFC,EQUITY,BSE_EQ,AADHARHFC,Aadhar Housing Finance Limited,15-MAY-2024,INE883F01010,10
BSE_EQ|INE559D01011,CREST,EQUITY,BSE_EQ,CREST,Crest Ventures Limited,27-DEC-2006,INE559D01011,10
BSE_EQ|INE051B01021,VAKRANGEE,EQUITY,BSE_EQ,VAKRANGEE,Vakrangee Limited,03-APR-2006,INE051B01021,1
BSE_EQ|INE841B01017,INDBANK,EQUITY,BSE_EQ,INDBANK,Indbank Merchant Banking Services Limited,08-OCT-2008,INE841B01017,10
BSE_EQ|INE893J01029,MOLDTKPAC,EQUITY,BSE_EQ,MOLDTKPAC,Mold-Tek Packaging Limited,23-FEB-2015,INE893J01029,5
BSE_EQ|INE903D01011,MONARCH,EQUITY,BSE_EQ,MONARCH,Monarch Networth Capital Limited,06-JAN-2022,INE903D01011,10
BSE_EQ|INE289C01025,TIMESGTY,EQUITY,BSE_EQ,TIMESGTY,Times Guaranty Limited,11-JUN-2002,INE289C01025,10
BSE_EQ|INE688J01023,EXCEL,EQUITY,BSE_EQ,EXCEL,Excel Realty N Infra Limited,03-AUG-2009,INE688J01023,1
BSE_EQ|INE294G01026,ROML,EQUITY,BSE_EQ,ROML,Raj Oil Mills Limited,06-OCT-2020,INE294G01026,10
BSE_EQ|INE323B01016,AVONMORE,EQUITY,BSE_EQ,AVONMORE,Avonmore Capital & Management Services Limited,04-JAN-2023,INE323B01016,10
BSE_EQ|INE420B01036,ARIHANTCAP,EQUITY,BSE_EQ,ARIHANTCAP,Arihant Capital Markets Limited,15-JUN-2021,INE420B01036,1
